# Wavelength(nm) 	 Amplitude 	 Effective thickness (nm) 	 Max. QE
2.750000000000000000e+02	4.910984364175216554e-02	4.705111013886972415e+01	4.772363771063925508e-02
2.800000000000000000e+02	1.090758126088876706e-01	5.386966396687854086e+01	1.144749080715873890e-01
2.850000000000000000e+02	2.107954127547647660e-01	5.185221053211287767e+01	2.139812950662224877e-01
2.900000000000000000e+02	3.431342991625245809e-01	4.885657722840212358e+01	3.294695950234166615e-01
2.950000000000000000e+02	4.378869436747995780e-01	5.115142390168615094e+01	4.336297325103680711e-01
3.000000000000000000e+02	5.001504924559539988e-01	5.331601673586620649e+01	5.051198604432941552e-01
3.050000000000000000e+02	5.529694167954528616e-01	5.256127991470428640e+01	5.470889613714914335e-01
3.100000000000000000e+02	5.956288010547478029e-01	5.106631318246017059e+01	5.725966532397024356e-01
3.150000000000000000e+02	5.852175887802988363e-01	5.492257581308024328e+01	5.919053392012719739e-01
3.200000000000000000e+02	6.048158827367059454e-01	5.504798539452303885e+01	6.070445852200430092e-01
3.250000000000000000e+02	6.153137344991015389e-01	5.567735507300393749e+01	6.176884765823343892e-01
3.300000000000000000e+02	6.190825260628116666e-01	5.618234827843730983e+01	6.247421069368607194e-01
3.350000000000000000e+02	6.290881619289466764e-01	5.682352735866965787e+01	6.288609444652895064e-01
3.400000000000000000e+02	6.618386758465266695e-01	5.387126820495780066e+01	6.340066698372964771e-01
3.450000000000000000e+02	6.540527286884049163e-01	5.604519099070613919e+01	6.365100367171707685e-01
3.500000000000000000e+02	6.454474496297104569e-01	5.764322050212142301e+01	6.375312408157567390e-01
3.550000000000000000e+02	6.569454993005593435e-01	5.770235514032813029e+01	6.408369170118192182e-01
3.600000000000000000e+02	6.393962491373990087e-01	6.008161767449326618e+01	6.419714960938139869e-01
3.650000000000000000e+02	6.546288521429645124e-01	5.878396642448365128e+01	6.451795654703708083e-01
3.700000000000000000e+02	6.289725182147221094e-01	6.266121623319403255e+01	6.435798178282446935e-01
3.750000000000000000e+02	6.543609512879097201e-01	6.062334324476250202e+01	6.467035241254326383e-01
3.800000000000000000e+02	6.558034673513154500e-01	6.112670263466669240e+01	6.466601274833944091e-01
3.850000000000000000e+02	6.568115703323539334e-01	6.155521786743104684e+01	6.483557318809279879e-01
3.900000000000000000e+02	6.628111844335929925e-01	6.180459727274612192e+01	6.490118525725869780e-01
3.950000000000000000e+02	6.521501650111788395e-01	6.328629887262797382e+01	6.490472964293176883e-01
4.000000000000000000e+02	6.477158599730421518e-01	6.417476384896863806e+01	6.480097051166079369e-01
4.050000000000000000e+02	6.702562032072671983e-01	6.218593192088611232e+01	6.487385541192876026e-01
4.100000000000000000e+02	6.579017418002603979e-01	6.410639926409498912e+01	6.491184395466466084e-01
4.150000000000000000e+02	6.522783749723869429e-01	6.536750422341347644e+01	6.480411441559553731e-01
4.200000000000000000e+02	6.433777925226471517e-01	6.707412497419302611e+01	6.495060503831976417e-01
4.250000000000000000e+02	6.490642121458797265e-01	6.672142268034465928e+01	6.486349723863955585e-01
4.300000000000000000e+02	6.476105459806523745e-01	6.725915775860954682e+01	6.474498633938511327e-01
4.350000000000000000e+02	6.774632702984686450e-01	6.413476258135213470e+01	6.464150287915038096e-01
4.400000000000000000e+02	6.329632630162359552e-01	6.994051182034934300e+01	6.478833469895863839e-01
4.450000000000000000e+02	6.411861127432155749e-01	6.872037648615183514e+01	6.471802032795603843e-01
4.500000000000000000e+02	6.442728321621938870e-01	6.890996308019020944e+01	6.458621491684004567e-01
4.550000000000000000e+02	6.601787317686618195e-01	6.652479943105316806e+01	6.436147337760478315e-01
4.600000000000000000e+02	6.595199736370779275e-01	6.625667274816068186e+01	6.430469042261515167e-01
4.650000000000000000e+02	6.420895927862996233e-01	6.826730128522621044e+01	6.392525073857578954e-01
4.700000000000000000e+02	6.354975028460130293e-01	6.893538943210076297e+01	6.347124651000313200e-01
4.750000000000000000e+02	6.177685832391655030e-01	7.123090302390033912e+01	6.335686596520440084e-01
4.800000000000000000e+02	6.216361032987822721e-01	7.006684015075632033e+01	6.307600499783477810e-01
4.850000000000000000e+02	6.284964305230232862e-01	6.870063109250948230e+01	6.270881233532732413e-01
4.900000000000000000e+02	5.982686962759455884e-01	7.180649582192866376e+01	6.231102396573177105e-01
4.950000000000000000e+02	6.063000559847907533e-01	6.959031222656525983e+01	6.184790105029924767e-01
5.000000000000000000e+02	6.541900443255440623e-01	6.337628241847684762e+01	6.185724600537820805e-01
5.050000000000000000e+02	6.322488598145841188e-01	6.537181513397544563e+01	6.146099722134475973e-01
5.100000000000000000e+02	6.138130080489909712e-01	6.862466660874719082e+01	6.134164539497102275e-01
5.150000000000000000e+02	6.445725450147928859e-01	6.493506521051961045e+01	6.140374425548410509e-01
5.200000000000000000e+02	6.192596920674281469e-01	6.897629798938510248e+01	6.148876465383483758e-01
5.250000000000000000e+02	6.184097689183177815e-01	6.967755896847727115e+01	6.191937837590346660e-01
5.300000000000000000e+02	6.251590521734705641e-01	6.986966866225513684e+01	6.194960791695220959e-01
5.350000000000000000e+02	6.171924259555817693e-01	7.220299695412761309e+01	6.194322457164539442e-01
5.400000000000000000e+02	6.171848645847690662e-01	7.229463539907887082e+01	6.210677466557417148e-01
5.450000000000000000e+02	6.420645521587622362e-01	6.975365262808075784e+01	6.226306478211260931e-01
5.500000000000000000e+02	6.323049499185152689e-01	7.129623126233136077e+01	6.209955477906240473e-01
5.550000000000000000e+02	6.092691621123610402e-01	7.387456882858000995e+01	6.181163297850014171e-01
5.600000000000000000e+02	6.284590234836484601e-01	7.136516846291058869e+01	6.173924630001103031e-01
5.650000000000000000e+02	6.507849612766897218e-01	6.849216500770639016e+01	6.154123867919564228e-01
5.700000000000000000e+02	6.292442564800124760e-01	7.060157909017776490e+01	6.150580889537539120e-01
5.750000000000000000e+02	6.151442923834434806e-01	7.361556131153244564e+01	6.166692866054630517e-01
5.800000000000000000e+02	6.400176536958038787e-01	7.112040000202902945e+01	6.178825074269458373e-01
5.850000000000000000e+02	6.159383853957600685e-01	7.717061099905409094e+01	6.230632430089707574e-01
5.900000000000000000e+02	6.133123703920699832e-01	7.925092884130808102e+01	6.266667607336787738e-01
5.950000000000000000e+02	6.212867440238791783e-01	7.920636068545559283e+01	6.303201120720849371e-01
6.000000000000000000e+02	6.075255222616851025e-01	8.200068774952011097e+01	6.322710293059210507e-01
6.050000000000000000e+02	6.255854759947981902e-01	8.076009852212348505e+01	6.352382323249264884e-01
