# Wavelength(nm) 	 QE 	 error
2.500000000000000000e+02	5.199999999999999680e-05	1.019803902718556949e-05
2.550000000000000000e+02	4.200000000000000174e-04	2.898275349237887445e-05
2.600000000000000000e+02	2.550000000000000183e-03	7.141428428542849493e-05
2.650000000000000000e+02	1.106399999999999918e-02	1.487548318542964028e-04
2.700000000000000000e+02	3.633000000000000118e-02	2.695551891542806618e-04
2.750000000000000000e+02	9.243200000000000027e-02	4.299581374971288956e-04
2.800000000000000000e+02	1.846339999999999926e-01	6.076742548438267017e-04
2.850000000000000000e+02	3.025860000000000216e-01	7.779280172355279967e-04
2.900000000000000000e+02	4.245019999999999905e-01	9.214141305623655635e-04
2.950000000000000000e+02	5.278380000000000294e-01	1.027460948162994521e-03
3.000000000000000000e+02	5.984099999999999975e-01	1.093992687361300268e-03
3.050000000000000000e+02	6.391139999999999599e-01	1.130587457917343105e-03
3.100000000000000000e+02	6.622179999999999733e-01	1.150841431301462964e-03
3.150000000000000000e+02	6.821979999999999711e-01	1.168073627816329030e-03
3.200000000000000000e+02	6.967440000000000300e-01	1.180460926926427470e-03
3.250000000000000000e+02	7.053620000000000445e-01	1.187739028574880248e-03
3.300000000000000000e+02	7.130180000000000407e-01	1.194167492439816890e-03
3.350000000000000000e+02	7.174800000000000066e-01	1.197898159277323510e-03
3.400000000000000000e+02	7.210060000000000358e-01	1.200838040703241637e-03
3.450000000000000000e+02	7.239360000000000239e-01	1.203275529544251942e-03
3.500000000000000000e+02	7.276820000000000510e-01	1.206384681600359285e-03
3.550000000000000000e+02	7.296059999999999768e-01	1.207978476629447242e-03
3.600000000000000000e+02	7.314659999999999496e-01	1.209517259074875716e-03
3.650000000000000000e+02	7.334000000000000519e-01	1.211115188576214778e-03
3.700000000000000000e+02	7.347759999999999847e-01	1.212250799133578541e-03
3.750000000000000000e+02	7.359740000000000171e-01	1.213238640993601243e-03
3.800000000000000000e+02	7.366500000000000270e-01	1.213795699448634580e-03
