# Wavelength(nm) 	 QE 	 error
2.500000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00
2.550000000000000000e+02	4.000000000000000327e-05	8.944271909999159769e-06
2.600000000000000000e+02	3.879999999999999985e-04	2.785677655436823922e-05
2.650000000000000000e+02	2.789999999999999945e-03	7.469939758793239597e-05
2.700000000000000000e+02	1.371999999999999956e-02	1.656502339267892498e-04
2.750000000000000000e+02	4.586400000000000199e-02	3.028663071389751113e-04
2.800000000000000000e+02	1.113360000000000044e-01	4.718813410169976305e-04
2.850000000000000000e+02	2.119399999999999895e-01	6.510606730558988467e-04
2.900000000000000000e+02	3.272120000000000029e-01	8.089647705555539497e-04
2.950000000000000000e+02	4.319439999999999946e-01	9.294557547296159730e-04
3.000000000000000000e+02	5.068719999999999892e-01	1.006848548690417395e-03
3.050000000000000000e+02	5.503320000000000434e-01	1.049125349993984243e-03
3.100000000000000000e+02	5.750279999999999836e-01	1.072406639293136798e-03
3.150000000000000000e+02	5.960999999999999632e-01	1.091879114188013021e-03
3.200000000000000000e+02	6.120499999999999829e-01	1.106390527797486119e-03
3.250000000000000000e+02	6.237380000000000146e-01	1.116904651257214550e-03
3.300000000000000000e+02	6.303760000000000474e-01	1.122832133491021879e-03
3.350000000000000000e+02	6.353919999999999568e-01	1.127290557043746175e-03
3.400000000000000000e+02	6.402039999999999953e-01	1.131551147761337408e-03
3.450000000000000000e+02	6.416579999999999506e-01	1.132835380803406825e-03
3.500000000000000000e+02	6.476439999999999975e-01	1.138107200574708716e-03
3.550000000000000000e+02	6.504039999999999822e-01	1.140529701498387092e-03
3.600000000000000000e+02	6.497699999999999587e-01	1.139973683906781972e-03
3.650000000000000000e+02	6.516480000000000050e-01	1.141619901718606217e-03
3.700000000000000000e+02	6.543780000000000152e-01	1.144008741225345602e-03
3.750000000000000000e+02	6.557760000000000256e-01	1.145230107882254248e-03
3.800000000000000000e+02	6.559300000000000130e-01	1.145364570780849512e-03
3.850000000000000000e+02	6.565619999999999790e-01	1.145916227304596448e-03
3.900000000000000000e+02	6.578920000000000323e-01	1.147076283426695219e-03
3.950000000000000000e+02	6.598380000000000356e-01	1.148771517752768864e-03
4.000000000000000000e+02	6.560259999999999980e-01	1.145448383821811656e-03
4.050000000000000000e+02	6.586539999999999617e-01	1.147740388763940052e-03
4.100000000000000000e+02	6.589880000000000182e-01	1.148031358456727937e-03
4.150000000000000000e+02	6.576060000000000239e-01	1.146826926785380306e-03
4.200000000000000000e+02	6.556840000000000446e-01	1.145149771863925242e-03
4.250000000000000000e+02	6.515760000000000440e-01	1.141556831699587190e-03
4.300000000000000000e+02	6.505720000000000391e-01	1.140676991965736088e-03
4.350000000000000000e+02	6.499679999999999902e-01	1.140147358897085654e-03
4.400000000000000000e+02	6.488660000000000538e-01	1.139180407134884020e-03
4.450000000000000000e+02	6.469139999999999890e-01	1.137465603875563317e-03
4.500000000000000000e+02	6.438279999999999559e-01	1.134749311522152910e-03
4.550000000000000000e+02	6.398519999999999763e-01	1.131240027580353953e-03
4.600000000000000000e+02	6.323039999999999772e-01	1.124547909161721648e-03
4.650000000000000000e+02	6.251280000000000170e-01	1.118148469569224882e-03
4.700000000000000000e+02	6.195119999999999516e-01	1.113114549361385276e-03
