# Wavelength(nm) 	 QE
2.600000000000000000e+02	0.000000000000000000e+00
2.700000000000000000e+02	1.000000000000000048e-04
2.800000000000000000e+02	2.000000000000000096e-04
2.900000000000000000e+02	3.200000000000000153e-03
3.000000000000000000e+02	2.809999999999999998e-02
3.100000000000000000e+02	7.409999999999999920e-02
3.200000000000000000e+02	1.363999999999999935e-01
3.300000000000000000e+02	1.804000000000000048e-01
3.400000000000000000e+02	2.079999999999999905e-01
3.500000000000000000e+02	2.243999999999999884e-01
3.600000000000000000e+02	2.315000000000000113e-01
3.700000000000000000e+02	2.368000000000000105e-01
3.800000000000000000e+02	2.384000000000000008e-01
3.900000000000000000e+02	2.446000000000000119e-01
4.000000000000000000e+02	2.444999999999999951e-01
4.100000000000000000e+02	2.441000000000000114e-01
4.200000000000000000e+02	2.431999999999999995e-01
4.300000000000000000e+02	2.333999999999999964e-01
4.400000000000000000e+02	2.257000000000000117e-01
4.500000000000000000e+02	2.179999999999999993e-01
4.600000000000000000e+02	2.061000000000000054e-01
4.700000000000000000e+02	1.910000000000000031e-01
4.800000000000000000e+02	1.792999999999999872e-01
4.900000000000000000e+02	1.696999999999999897e-01
5.000000000000000000e+02	1.625999999999999945e-01
5.100000000000000000e+02	1.516000000000000125e-01
5.200000000000000000e+02	1.280999999999999917e-01
5.300000000000000000e+02	1.004000000000000031e-01
5.400000000000000000e+02	8.190000000000000058e-02
5.500000000000000000e+02	7.059999999999999609e-02
5.600000000000000000e+02	6.199999999999999956e-02
5.700000000000000000e+02	5.390000000000000346e-02
5.800000000000000000e+02	4.560000000000000164e-02
5.900000000000000000e+02	3.729999999999999982e-02
6.000000000000000000e+02	2.989999999999999949e-02
6.100000000000000000e+02	2.280000000000000082e-02
6.200000000000000000e+02	1.640000000000000138e-02
6.300000000000000000e+02	1.069999999999999944e-02
6.400000000000000000e+02	7.000000000000000146e-03
6.500000000000000000e+02	4.199999999999999740e-03
6.600000000000000000e+02	2.299999999999999961e-03
6.700000000000000000e+02	1.199999999999999895e-03
6.800000000000000000e+02	5.999999999999999474e-04
6.900000000000000000e+02	2.999999999999999737e-04
7.000000000000000000e+02	1.000000000000000048e-04
7.100000000000000000e+02	0.000000000000000000e+00
7.200000000000000000e+02	0.000000000000000000e+00
7.300000000000000000e+02	0.000000000000000000e+00
