# Wavelength(nm) 	 QE 	 error
2.500000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00
2.550000000000000000e+02	2.000000000000000164e-05	6.324555320336759229e-06
2.600000000000000000e+02	3.040000000000000167e-04	2.465765601187590241e-05
2.650000000000000000e+02	2.448000000000000089e-03	6.997142273814360160e-05
2.700000000000000000e+02	1.243599999999999914e-02	1.577085920297305799e-04
2.750000000000000000e+02	4.481199999999999767e-02	2.993726774440179351e-04
2.800000000000000000e+02	1.134519999999999973e-01	4.763444132138005974e-04
2.850000000000000000e+02	2.230260000000000020e-01	6.678712450764743083e-04
2.900000000000000000e+02	3.548819999999999752e-01	8.424749254428881865e-04
2.950000000000000000e+02	4.752600000000000158e-01	9.749461523591957616e-04
3.000000000000000000e+02	5.618619999999999726e-01	1.060058488952378376e-03
3.050000000000000000e+02	6.125359999999999694e-01	1.106829706865514185e-03
3.100000000000000000e+02	6.450460000000000083e-01	1.135822169179665159e-03
3.150000000000000000e+02	6.686659999999999826e-01	1.156430715607294733e-03
3.200000000000000000e+02	6.867839999999999501e-01	1.171993174041555770e-03
3.250000000000000000e+02	6.993460000000000232e-01	1.182663096574844506e-03
3.300000000000000000e+02	7.070260000000000433e-01	1.189139184452349960e-03
3.350000000000000000e+02	7.150459999999999594e-01	1.195864540823917809e-03
3.400000000000000000e+02	7.197240000000000304e-01	1.199769977954107721e-03
3.450000000000000000e+02	7.245179999999999954e-01	1.203759112115044454e-03
3.500000000000000000e+02	7.274319999999999675e-01	1.206177433050378443e-03
3.550000000000000000e+02	7.296759999999999913e-01	1.208036423291946855e-03
3.600000000000000000e+02	7.317839999999999900e-01	1.209780145315668496e-03
3.650000000000000000e+02	7.331980000000000164e-01	1.210948388660722415e-03
3.700000000000000000e+02	7.353739999999999721e-01	1.212743996068420087e-03
3.750000000000000000e+02	7.360360000000000236e-01	1.213289742806721288e-03
3.800000000000000000e+02	7.360280000000000156e-01	1.213283149145326194e-03
3.850000000000000000e+02	7.359339999999999771e-01	1.213205670939597903e-03
3.900000000000000000e+02	7.337080000000000268e-01	1.211369472951997562e-03
3.950000000000000000e+02	7.333960000000000479e-01	1.211111885830537136e-03
4.000000000000000000e+02	7.328379999999999894e-01	1.210651064510331843e-03
4.050000000000000000e+02	7.335679999999999978e-01	1.211253895762568747e-03
4.100000000000000000e+02	7.313239999999999741e-01	1.209399851165858389e-03
4.150000000000000000e+02	7.314880000000000271e-01	1.209535448012996573e-03
4.200000000000000000e+02	7.300820000000000087e-01	1.208372459136668664e-03
4.250000000000000000e+02	7.278280000000000305e-01	1.206505698287413863e-03
4.300000000000000000e+02	7.260579999999999812e-01	1.205037758744513347e-03
4.350000000000000000e+02	7.259820000000000162e-01	1.204974688530842082e-03
4.400000000000000000e+02	7.232300000000000395e-01	1.202688654640094237e-03
4.450000000000000000e+02	7.205460000000000198e-01	1.200454913772274965e-03
4.500000000000000000e+02	7.153859999999999664e-01	1.196148820172473299e-03
4.550000000000000000e+02	7.111560000000000104e-01	1.192607227883513967e-03
4.600000000000000000e+02	7.051819999999999755e-01	1.187587470462702363e-03
4.650000000000000000e+02	6.979899999999999993e-01	1.181515975346927091e-03
4.700000000000000000e+02	6.892220000000000013e-01	1.174071548075329317e-03
4.750000000000000000e+02	6.759640000000000093e-01	1.162724386946450972e-03
4.800000000000000000e+02	6.597699999999999676e-01	1.148712322559482246e-03
4.850000000000000000e+02	6.417040000000000521e-01	1.132875986152058869e-03
4.900000000000000000e+02	6.312699999999999978e-01	1.123628052337605166e-03
4.950000000000000000e+02	6.209160000000000235e-01	1.114375161245080787e-03
5.000000000000000000e+02	6.146660000000000457e-01	1.108752452082970626e-03
5.050000000000000000e+02	6.092220000000000413e-01	1.103831508881677028e-03
5.100000000000000000e+02	6.068459999999999965e-01	1.101676903633728609e-03
5.150000000000000000e+02	6.040140000000000509e-01	1.099103270853107666e-03
5.200000000000000000e+02	5.912119999999999598e-01	1.087393213147847546e-03
5.250000000000000000e+02	5.812319999999999709e-01	1.078176237912893297e-03
5.300000000000000000e+02	5.644439999999999458e-01	1.062491411729996060e-03
5.350000000000000000e+02	5.441920000000000091e-01	1.043256440191001272e-03
5.400000000000000000e+02	5.183520000000000350e-01	1.018186623365284656e-03
5.450000000000000000e+02	4.842219999999999858e-01	9.840955238186992887e-04
5.500000000000000000e+02	4.683660000000000045e-01	9.678491618015691144e-04
5.550000000000000000e+02	4.497240000000000126e-01	9.483923238828960304e-04
5.600000000000000000e+02	4.303600000000000203e-01	9.277499663163562074e-04
5.650000000000000000e+02	4.140619999999999856e-01	9.100131867176430725e-04
5.700000000000000000e+02	3.990480000000000138e-01	8.933621885887045241e-04
5.750000000000000000e+02	3.871499999999999941e-01	8.799431799837986994e-04
5.800000000000000000e+02	3.807820000000000094e-01	8.726763432109295839e-04
5.850000000000000000e+02	3.803619999999999779e-01	8.721949323402424089e-04
5.900000000000000000e+02	3.767240000000000033e-01	8.680138247746979185e-04
5.950000000000000000e+02	3.692139999999999866e-01	8.593183344954301349e-04
6.000000000000000000e+02	3.643700000000000272e-01	8.536626968539739796e-04
6.050000000000000000e+02	3.550119999999999942e-01	8.426292185771865279e-04
6.100000000000000000e+02	3.523259999999999725e-01	8.394355246235412531e-04
6.150000000000000000e+02	3.522620000000000196e-01	8.393592794507009945e-04
6.200000000000000000e+02	3.501819999999999933e-01	8.368775298692156467e-04
6.250000000000000000e+02	3.468780000000000197e-01	8.329201642414474967e-04
6.300000000000000000e+02	3.420940000000000092e-01	8.271565752625073412e-04
6.350000000000000000e+02	3.377200000000000202e-01	8.218515681070395632e-04
6.400000000000000000e+02	3.355400000000000049e-01	8.191947265455266263e-04
6.450000000000000000e+02	3.346480000000000010e-01	8.181051277189257823e-04
6.500000000000000000e+02	3.316399999999999904e-01	8.144200390461913547e-04
6.550000000000000000e+02	3.312260000000000204e-01	8.139115431052689354e-04
6.600000000000000000e+02	3.311939999999999884e-01	8.138722258438359182e-04
6.650000000000000000e+02	3.296999999999999931e-01	8.120344820264715786e-04
6.700000000000000000e+02	3.280000000000000138e-01	8.099382692526635235e-04
6.750000000000000000e+02	3.239759999999999862e-01	8.049546571080882975e-04
6.800000000000000000e+02	3.217619999999999925e-01	8.021994764396197120e-04
6.850000000000000000e+02	3.218199999999999950e-01	8.022717744006703424e-04
6.900000000000000000e+02	3.196919999999999762e-01	7.996149073147649101e-04
6.950000000000000000e+02	3.205740000000000256e-01	8.007171785343437194e-04
7.000000000000000000e+02	3.201720000000000121e-01	8.002149711171367306e-04
7.050000000000000000e+02	3.198059999999999792e-01	7.997574632349485624e-04
7.100000000000000000e+02	3.199839999999999907e-01	7.999799997499937613e-04
7.150000000000000000e+02	3.186359999999999748e-01	7.982931792267800595e-04
7.200000000000000000e+02	3.177599999999999869e-01	7.971950827745992408e-04
7.250000000000000000e+02	3.178960000000000119e-01	7.973656626667591056e-04
7.300000000000000000e+02	3.159159999999999746e-01	7.948786070841257559e-04
7.350000000000000000e+02	3.148480000000000167e-01	7.935338682123151046e-04
7.400000000000000000e+02	3.141039999999999943e-01	7.925957355424012888e-04
7.450000000000000000e+02	3.143480000000000163e-01	7.929035250268470520e-04
7.500000000000000000e+02	3.130640000000000089e-01	7.912825032818556750e-04
7.550000000000000000e+02	3.132960000000000189e-01	7.915756438900833783e-04
7.600000000000000000e+02	3.116200000000000081e-01	7.894555085627055074e-04
7.650000000000000000e+02	3.099819999999999798e-01	7.873779270464723772e-04
7.700000000000000000e+02	3.097019999999999773e-01	7.870222360264035686e-04
7.750000000000000000e+02	3.087920000000000109e-01	7.858651283776371460e-04
7.800000000000000000e+02	3.066639999999999922e-01	7.831526032645234718e-04
7.850000000000000000e+02	3.060180000000000122e-01	7.823272972356263904e-04
7.900000000000000000e+02	3.053759999999999808e-01	7.815062379789428212e-04
7.950000000000000000e+02	3.048460000000000059e-01	7.808277658997533378e-04
