# Wavelength(nm) 	 QE 	 error
2.500000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00
2.520000000000000000e+02	1.999999999999999909e-06	1.414213562373095156e-06
2.540000000000000000e+02	5.000000000000000409e-06	2.236067977499789942e-06
2.560000000000000000e+02	1.699999999999999987e-05	4.123105625617660592e-06
2.580000000000000000e+02	6.600000000000000506e-05	8.124038404635961264e-06
2.600000000000000000e+02	1.630000000000000047e-04	1.276714533480370429e-05
2.620000000000000000e+02	4.330000000000000081e-04	2.080865204668481199e-05
2.640000000000000000e+02	1.095999999999999969e-03	3.310589071449369410e-05
2.660000000000000000e+02	2.317000000000000049e-03	4.813522618623495620e-05
2.680000000000000000e+02	5.152000000000000329e-03	7.177743377970544774e-05
2.700000000000000000e+02	8.826999999999999777e-03	9.395211546314430589e-05
2.720000000000000000e+02	1.658400000000000152e-02	1.287788802560419865e-04
2.740000000000000000e+02	2.781300000000000092e-02	1.667722998582198601e-04
2.760000000000000000e+02	4.188599999999999962e-02	2.046606948097264727e-04
2.780000000000000000e+02	6.625699999999999645e-02	2.574043511675744886e-04
2.800000000000000000e+02	9.197700000000000320e-02	3.032771010148969308e-04
2.820000000000000000e+02	1.279550000000000132e-01	3.577079814597376685e-04
2.840000000000000000e+02	1.673530000000000018e-01	4.090880100907383007e-04
2.860000000000000000e+02	2.049709999999999865e-01	4.527372306316324838e-04
2.880000000000000000e+02	2.588150000000000173e-01	5.087386362367222765e-04
2.900000000000000000e+02	3.010970000000000035e-01	5.487230631201863622e-04
2.920000000000000000e+02	3.479979999999999740e-01	5.899135529889103745e-04
2.940000000000000000e+02	3.923209999999999753e-01	6.263553304634677773e-04
2.960000000000000000e+02	4.247500000000000164e-01	6.517284710675143875e-04
2.980000000000000000e+02	4.617040000000000033e-01	6.794880425732302163e-04
3.000000000000000000e+02	4.874939999999999829e-01	6.982077054859821925e-04
3.050000000000000000e+02	5.351939999999999475e-01	1.034595573158903501e-03
3.100000000000000000e+02	5.637440000000000229e-01	1.061832378485418104e-03
3.150000000000000000e+02	5.832279999999999687e-01	1.080025925614751161e-03
3.200000000000000000e+02	6.003380000000000383e-01	1.095753621942450974e-03
3.250000000000000000e+02	6.115239999999999565e-01	1.105915005775760362e-03
3.300000000000000000e+02	6.194300000000000361e-01	1.113040879752401390e-03
3.350000000000000000e+02	6.246140000000000025e-01	1.117688686531271864e-03
3.400000000000000000e+02	6.292680000000000495e-01	1.121844909067202471e-03
3.450000000000000000e+02	6.316019999999999968e-01	1.123923484940144877e-03
3.500000000000000000e+02	6.349920000000000009e-01	1.126935668084030288e-03
3.550000000000000000e+02	6.370500000000000052e-01	1.128760382012054938e-03
3.600000000000000000e+02	6.389160000000000394e-01	1.130412314157980139e-03
3.650000000000000000e+02	6.410580000000000167e-01	1.132305612456283722e-03
3.700000000000000000e+02	6.410559999999999592e-01	1.132303846147313759e-03
3.750000000000000000e+02	6.433280000000000109e-01	1.134308599985030513e-03
3.800000000000000000e+02	6.426180000000000225e-01	1.133682495234005069e-03
3.850000000000000000e+02	6.438859999999999584e-01	1.134800422981944437e-03
3.900000000000000000e+02	6.440200000000000369e-01	1.134918499276489894e-03
3.950000000000000000e+02	6.426880000000000370e-01	1.133744239235639877e-03
4.000000000000000000e+02	6.438160000000000549e-01	1.134738736449937210e-03
4.050000000000000000e+02	6.441580000000000084e-01	1.135040087397797687e-03
4.100000000000000000e+02	6.449099999999999833e-01	1.135702425814086184e-03
4.150000000000000000e+02	6.448880000000000168e-01	1.135683054377408571e-03
4.200000000000000000e+02	6.413020000000000387e-01	1.132521081481488489e-03
4.250000000000000000e+02	6.366840000000000277e-01	1.128436085917142130e-03
4.300000000000000000e+02	6.353539999999999743e-01	1.127256847395481567e-03
4.350000000000000000e+02	6.324699999999999767e-01	1.124695514350439619e-03
4.400000000000000000e+02	6.319979999999999487e-01	1.124275766882840751e-03
4.450000000000000000e+02	6.301780000000000159e-01	1.122655779836366453e-03
4.500000000000000000e+02	6.259759999999999769e-01	1.118906609150200574e-03
4.550000000000000000e+02	6.213779999999999859e-01	1.114789666259963143e-03
4.600000000000000000e+02	6.167960000000000109e-01	1.110671868735316464e-03
4.650000000000000000e+02	6.084819999999999673e-01	1.103160913013146805e-03
4.700000000000000000e+02	6.026120000000000365e-01	1.097826944468024936e-03
4.750000000000000000e+02	5.897639999999999549e-01	1.086060771780290521e-03
4.800000000000000000e+02	5.730680000000000218e-01	1.070577414295668809e-03
4.850000000000000000e+02	5.542660000000000364e-01	1.052868462819548951e-03
4.900000000000000000e+02	5.458699999999999664e-01	1.044863627465326267e-03
4.950000000000000000e+02	5.382799999999999807e-01	1.037574093739815698e-03
5.000000000000000000e+02	5.318640000000000034e-01	1.031371901886026692e-03
5.050000000000000000e+02	5.259460000000000246e-01	1.025617862558955186e-03
5.100000000000000000e+02	5.232980000000000409e-01	1.023032746298963708e-03
5.150000000000000000e+02	5.240179999999999838e-01	1.023736294169548446e-03
5.200000000000000000e+02	5.110580000000000123e-01	1.010997527197767237e-03
5.250000000000000000e+02	4.975840000000000263e-01	9.975810743994696465e-04
5.300000000000000000e+02	4.829700000000000104e-01	9.828224661656854294e-04
5.350000000000000000e+02	4.627740000000000187e-01	9.620540525355111535e-04
5.400000000000000000e+02	4.370359999999999800e-01	9.349181782380744420e-04
5.450000000000000000e+02	4.088240000000000207e-01	9.042389064843428005e-04
5.500000000000000000e+02	3.933280000000000109e-01	8.869362998547301912e-04
5.550000000000000000e+02	3.772659999999999902e-01	8.686380143650172326e-04
5.600000000000000000e+02	3.615740000000000065e-01	8.503810910409520009e-04
5.650000000000000000e+02	3.457799999999999763e-01	8.316008658004151333e-04
5.700000000000000000e+02	3.345679999999999765e-01	8.180073349304393298e-04
5.750000000000000000e+02	3.219500000000000139e-01	8.024337978923868926e-04
5.800000000000000000e+02	3.169120000000000270e-01	7.961306425455560781e-04
5.850000000000000000e+02	3.151459999999999817e-01	7.939093147205164439e-04
5.900000000000000000e+02	3.110559999999999992e-01	7.887407685672143337e-04
5.950000000000000000e+02	3.070760000000000156e-01	7.836785055110289788e-04
6.000000000000000000e+02	3.005860000000000198e-01	7.753528229135430664e-04
6.050000000000000000e+02	2.946480000000000210e-01	7.676561730358195295e-04
6.100000000000000000e+02	2.923879999999999812e-01	7.647064796377758735e-04
6.150000000000000000e+02	2.917680000000000273e-01	7.638952807813385046e-04
6.200000000000000000e+02	2.896039999999999726e-01	7.610571594827815695e-04
6.250000000000000000e+02	2.873979999999999868e-01	7.581530188556925235e-04
6.300000000000000000e+02	2.833899999999999753e-01	7.528479262108650136e-04
6.350000000000000000e+02	2.786379999999999968e-01	7.465092095882006539e-04
6.400000000000000000e+02	2.773340000000000249e-01	7.447603641440648549e-04
6.450000000000000000e+02	2.757120000000000126e-01	7.425792886958268403e-04
6.500000000000000000e+02	2.735560000000000214e-01	7.396701967769148556e-04
6.550000000000000000e+02	2.730799999999999894e-01	7.390263865383968258e-04
6.600000000000000000e+02	2.731419999999999959e-01	7.391102759399303728e-04
6.650000000000000000e+02	2.732959999999999834e-01	7.393186052034670785e-04
6.700000000000000000e+02	2.710060000000000247e-01	7.362146426145027437e-04
6.750000000000000000e+02	2.686220000000000274e-01	7.329693035864462197e-04
6.800000000000000000e+02	2.659699999999999842e-01	7.293421693553718598e-04
6.850000000000000000e+02	2.665859999999999896e-01	7.301862776031880142e-04
6.900000000000000000e+02	2.655080000000000218e-01	7.287084464996958352e-04
6.950000000000000000e+02	2.672399999999999776e-01	7.310813908177392437e-04
7.000000000000000000e+02	2.660620000000000207e-01	7.294682995168466980e-04
7.050000000000000000e+02	2.649259999999999948e-01	7.279093350136403096e-04
7.100000000000000000e+02	2.653340000000000143e-01	7.284696287423381763e-04
7.150000000000000000e+02	2.642900000000000249e-01	7.270350748072613046e-04
7.200000000000000000e+02	2.650140000000000273e-01	7.280302191530239149e-04
7.250000000000000000e+02	2.638519999999999754e-01	7.264323781330234283e-04
7.300000000000000000e+02	2.638739999999999974e-01	7.264626624954651554e-04
7.350000000000000000e+02	2.629179999999999851e-01	7.251455026406768666e-04
7.400000000000000000e+02	2.634540000000000215e-01	7.258842882994506014e-04
7.450000000000000000e+02	2.627559999999999896e-01	7.249220647766213728e-04
7.500000000000000000e+02	2.627599999999999936e-01	7.249275825901509195e-04
