# #Temp 	 mean 	 error above 	 error below
-50.00000	95.66650	2.93253	4.01938
-49.00000	94.98037	2.91494	3.99545
-48.00000	94.29424	2.89734	3.97153
-47.00000	93.60811	2.87975	3.94760
-46.00000	92.92198	2.86216	3.92367
-45.00000	92.23585	2.84456	3.89975
-44.00000	91.54971	2.82697	3.87582
-43.00000	90.86358	2.80938	3.85189
-42.00000	90.17745	2.79178	3.82797
-41.00000	89.49132	2.77419	3.80404
-40.00000	88.80519	2.75660	3.78011
-39.00000	88.07927	2.73700	3.75380
-38.00000	87.35336	2.71741	3.72749
-37.00000	86.62745	2.69781	3.70117
-36.00000	85.90154	2.67822	3.67486
-35.00000	85.17563	2.65862	3.64855
-34.00000	84.44971	2.63903	3.62223
-33.00000	83.72380	2.61943	3.59592
-32.00000	82.99789	2.59984	3.56961
-31.00000	82.27198	2.58024	3.54329
-30.00000	81.54607	2.56065	3.51698
-29.00000	80.89395	2.54360	3.49332
-28.00000	80.24184	2.52656	3.46965
-27.00000	79.58972	2.50952	3.44599
-26.00000	78.93761	2.49248	3.42233
-25.00000	78.28550	2.47543	3.39867
-24.00000	77.63338	2.45839	3.37500
-23.00000	76.98127	2.44135	3.35134
-22.00000	76.32916	2.42431	3.32768
-21.00000	75.67704	2.40726	3.30402
-20.00000	75.02493	2.39022	3.28035
-19.00000	74.37281	2.37318	3.25669
-18.00000	73.72070	2.35613	3.23303
-17.00000	73.06859	2.33909	3.20937
-16.00000	72.41647	2.32205	3.18570
-15.00000	71.76436	2.30501	3.16204
