# #Temp 	 mean 	 error above 	 error below
-50.00000	245.65944	9.80375	9.82390
-49.00000	243.82665	9.74110	9.75497
-48.00000	241.99385	9.67845	9.68604
-47.00000	240.16106	9.61580	9.61712
-46.00000	238.32826	9.55315	9.54819
-45.00000	236.49546	9.49050	9.47926
-44.00000	234.66267	9.42786	9.41034
-43.00000	232.82987	9.36521	9.34141
-42.00000	230.99708	9.30256	9.27249
-41.00000	229.16428	9.23991	9.20356
-40.00000	227.33149	9.17726	9.13463
-39.00000	225.71607	9.12073	9.07775
-38.00000	224.10065	9.06420	9.02086
-37.00000	222.48523	9.00767	8.96397
-36.00000	220.86981	8.95114	8.90708
-35.00000	219.25439	8.89461	8.85020
-34.00000	217.63897	8.83809	8.79331
-33.00000	216.02355	8.78156	8.73642
-32.00000	214.40813	8.72503	8.67953
-31.00000	212.79271	8.66850	8.62265
-30.00000	211.17729	8.61197	8.56576
-29.00000	209.33037	8.54556	8.50166
-28.00000	207.48346	8.47916	8.43757
-27.00000	205.63654	8.41275	8.37347
-26.00000	203.78962	8.34634	8.30938
-25.00000	201.94270	8.27994	8.24528
-24.00000	200.09578	8.21353	8.18119
-23.00000	198.24886	8.14712	8.11709
-22.00000	196.40194	8.08072	8.05299
-21.00000	194.55502	8.01431	7.98890
-20.00000	192.70810	7.94791	7.92480
-19.00000	190.86118	7.88150	7.86071
-18.00000	189.01427	7.81509	7.79661
-17.00000	187.16735	7.74869	7.73252
-16.00000	185.32043	7.68228	7.66842
-15.00000	183.47351	7.61588	7.60432
