# #Temp 	 mean 	 error above 	 error below
-50.00000	66.98783	5.94776	5.17769
-49.00000	66.32048	5.91230	5.13616
-48.00000	65.65314	5.87684	5.09463
-47.00000	64.98579	5.84138	5.05310
-46.00000	64.31844	5.80592	5.01158
-45.00000	63.65109	5.77046	4.97005
-44.00000	62.98374	5.73500	4.92852
-43.00000	62.31639	5.69954	4.88699
-42.00000	61.64905	5.66408	4.84546
-41.00000	60.98170	5.62861	4.80394
-40.00000	60.31435	5.59315	4.76241
-39.00000	59.72977	5.55145	4.72713
-38.00000	59.14518	5.50974	4.69185
-37.00000	58.56060	5.46803	4.65657
-36.00000	57.97601	5.42632	4.62129
-35.00000	57.39143	5.38461	4.58601
-34.00000	56.80684	5.34290	4.55073
-33.00000	56.22226	5.30119	4.51545
-32.00000	55.63767	5.25948	4.48017
-31.00000	55.05309	5.21777	4.44489
-30.00000	54.46850	5.17607	4.40961
-29.00000	53.99955	5.12735	4.38105
-28.00000	53.53060	5.07864	4.35249
-27.00000	53.06164	5.02992	4.32393
-26.00000	52.59269	4.98121	4.29538
-25.00000	52.12374	4.93249	4.26682
-24.00000	51.65478	4.88378	4.23826
-23.00000	51.18583	4.83506	4.20971
-22.00000	50.71687	4.78635	4.18115
-21.00000	50.24792	4.73763	4.15259
-20.00000	49.77897	4.68892	4.12403
-19.00000	49.31001	4.64020	4.09548
-18.00000	48.84106	4.59149	4.06692
-17.00000	48.37211	4.54277	4.03836
-16.00000	47.90315	4.49406	4.00981
-15.00000	47.43420	4.44534	3.98125
