# #Temp 	 mean 	 error above 	 error below
-50.00000	172.62696	5.71090	5.51693
-49.00000	171.10163	5.66922	5.47649
-48.00000	169.57630	5.62754	5.43606
-47.00000	168.05096	5.58585	5.39562
-46.00000	166.52563	5.54417	5.35518
-45.00000	165.00030	5.50249	5.31474
-44.00000	163.47496	5.46080	5.27430
-43.00000	161.94963	5.41912	5.23386
-42.00000	160.42430	5.37743	5.19343
-41.00000	158.89896	5.33575	5.15299
-40.00000	157.37363	5.29407	5.11255
-39.00000	155.89017	5.25385	5.07352
-38.00000	154.40671	5.21364	5.03449
-37.00000	152.92325	5.17343	4.99546
-36.00000	151.43979	5.13321	4.95643
-35.00000	149.95633	5.09300	4.91740
-34.00000	148.47287	5.05279	4.87837
-33.00000	146.98941	5.01257	4.83934
-32.00000	145.50595	4.97236	4.80031
-31.00000	144.02248	4.93214	4.76128
-30.00000	142.53902	4.89193	4.72225
-29.00000	141.16825	4.85428	4.68661
-28.00000	139.79748	4.81663	4.65097
-27.00000	138.42671	4.77898	4.61534
-26.00000	137.05594	4.74134	4.57970
-25.00000	135.68517	4.70369	4.54407
-24.00000	134.31440	4.66604	4.50843
-23.00000	132.94363	4.62839	4.47279
-22.00000	131.57286	4.59074	4.43716
-21.00000	130.20209	4.55309	4.40152
-20.00000	128.83131	4.51544	4.36589
-19.00000	127.46054	4.47779	4.33025
-18.00000	126.08977	4.44014	4.29461
-17.00000	124.71900	4.40250	4.25898
-16.00000	123.34823	4.36485	4.22334
-15.00000	121.97746	4.32720	4.18770
